id;start_date;end_date;language
1;2020-03-14T03:35:00;2020-03-14T01:25:15;SPANISH
2;2020-03-13T08:25:11;2020-03-14T03:29:36;SPANISH
3;2020-03-13T23:20:30;2020-03-13T09:54:39;FRENCH
4;2020-03-13T14:38:01;2020-03-14T02:09:27;FRENCH
5;2020-03-14T00:08:19;2020-03-14T04:55:18;FRENCH
6;2020-03-13T18:00:40;2020-03-14T06:08:54;FRENCH
7;2020-03-13T19:46:00;2020-03-13T13:36:51;FRENCH
8;2020-03-13T18:42:13;2020-03-14T04:58:21;SPANISH
9;2020-03-13T17:23:22;2020-03-13T14:04:45;SPANISH
10;2020-03-14T01:35:26;2020-03-13T12:09:56;SPANISH
